Artifact,Current Version,Newer Versions,Num Newer Versions,Upgrades Available
com.github.luben:zstd-jni,1.4.0-1,"1.5.5-4, 1.5.5-3, 1.5.5-2, 1.5.5-1, 1.5.4-2, 1.5.4-1, 1.5.2-5, 1.5.2-4, 1.5.2-3, 1.5.2-2, 1.5.2-1, 1.5.1-1, 1.5.0-5, 1.5.0-4, 1.5.0-3, 1.5.0-2, 1.5.0-1, 1.4.9-5, 1.4.9-4, 1.4.9-3, 1.4.9-2, 1.4.9-1, 1.4.8-7, 1.4.8-6, 1.4.8-5, 1.4.8-4, 1.4.8-3, 1.4.8-2, 1.4.8-1, 1.4.7-3, 1.4.7-2, 1.4.7-1, 1.4.5-9, 1.4.5-8, 1.4.5-7, 1.4.5-6, 1.4.5-5, 1.4.5-4, 1.4.5-3, 1.4.5-2, 1.4.5-12, 1.4.5-11, 1.4.5-10, 1.4.5-1, 1.4.4-9, 1.4.4-8, 1.4.4-7, 1.4.4-6, 1.4.4-11, 1.4.4-10",50,"Minor, Patch"
com.github.luben:zstd-jni,1.4.0-1,"1.5.5-4, 1.5.5-3, 1.5.5-2, 1.5.5-1, 1.5.4-2, 1.5.4-1, 1.5.2-5, 1.5.2-4, 1.5.2-3, 1.5.2-2, 1.5.2-1, 1.5.1-1, 1.5.0-5, 1.5.0-4, 1.5.0-3, 1.5.0-2, 1.5.0-1, 1.4.9-5, 1.4.9-4, 1.4.9-3, 1.4.9-2, 1.4.9-1, 1.4.8-7, 1.4.8-6, 1.4.8-5, 1.4.8-4, 1.4.8-3, 1.4.8-2, 1.4.8-1, 1.4.7-3, 1.4.7-2, 1.4.7-1, 1.4.5-9, 1.4.5-8, 1.4.5-7, 1.4.5-6, 1.4.5-5, 1.4.5-4, 1.4.5-3, 1.4.5-2, 1.4.5-12, 1.4.5-11, 1.4.5-10, 1.4.5-1, 1.4.4-9, 1.4.4-8, 1.4.4-7, 1.4.4-6, 1.4.4-11, 1.4.4-10",50,"Minor, Patch"
com.google.api.grpc:proto-google-cloud-datastore-v1,0.62.0,"0.99.0, 0.98.0, 0.97.0, 0.96.1, 0.96.0, 0.95.0, 0.94.1, 0.94.0, 0.93.9, 0.93.8, 0.93.7, 0.93.6, 0.93.5, 0.93.4, 0.93.3, 0.93.11, 0.93.10, 0.107.0, 0.106.0, 0.105.7, 0.105.6, 0.105.5, 0.105.4, 0.105.3, 0.105.2, 0.105.1, 0.105.0, 0.104.6, 0.104.5, 0.104.4, 0.104.3, 0.104.2, 0.104.1, 0.104.0, 0.103.5, 0.103.4, 0.103.3, 0.103.2, 0.103.1, 0.103.0, 0.102.5, 0.102.4, 0.102.3, 0.102.2, 0.102.1, 0.102.0, 0.101.1, 0.101.0, 0.100.1, 0.100.0",50,Minor
com.google.api.grpc:proto-google-cloud-iamcredentials-v1,1.0.2,"2.9.0, 2.8.0, 2.7.0, 2.6.0, 2.5.0, 2.4.0, 2.3.6, 2.3.5, 2.3.4, 2.3.2, 2.3.0, 2.20.0, 2.2.0, 2.19.0, 2.18.0, 2.17.0, 2.16.0, 2.15.0, 2.14.0, 2.13.0, 2.12.0, 2.11.0, 2.10.0, 2.1.0, 2.0.9, 2.0.8, 2.0.7, 2.0.6, 2.0.5, 2.0.4, 2.0.3, 2.0.2, 2.0.15, 2.0.14, 2.0.13, 2.0.12, 2.0.11, 2.0.10, 2.0.1, 2.0.0, 1.3.2, 1.3.1, 1.3.0, 1.2.5, 1.2.4, 1.2.3, 1.2.2, 1.2.1, 1.2.0, 1.1.9",50,"Major, Minor"
com.google.api.grpc:proto-google-cloud-kms-v1,0.79.0,"0.99.0, 0.98.0, 0.97.8, 0.97.7, 0.97.6, 0.97.4, 0.97.3, 0.97.2, 0.97.0, 0.96.3, 0.96.2, 0.96.1, 0.96.0, 0.95.4, 0.95.3, 0.95.2, 0.95.1, 0.95.0, 0.94.1, 0.94.0, 0.93.2, 0.93.1, 0.93.0, 0.92.2, 0.92.1, 0.92.0, 0.91.3, 0.91.2, 0.91.1, 0.91.0, 0.90.0, 0.89.3, 0.89.2, 0.89.1, 0.89.0, 0.114.0, 0.113.0, 0.112.0, 0.111.0, 0.110.0, 0.109.0, 0.108.0, 0.107.0, 0.106.0, 0.105.0, 0.104.0, 0.103.0, 0.102.0, 0.101.0, 0.100.0",50,Minor
com.google.api.grpc:proto-google-cloud-logging-v2,0.76.0,"0.99.7, 0.99.6, 0.99.5, 0.99.4, 0.99.3, 0.99.2, 0.99.0, 0.98.0, 0.97.0, 0.96.7, 0.96.6, 0.96.5, 0.96.4, 0.104.5, 0.104.4, 0.104.3, 0.104.2, 0.104.1, 0.104.0, 0.103.9, 0.103.8, 0.103.7, 0.103.6, 0.103.5, 0.103.4, 0.103.3, 0.103.2, 0.103.1, 0.103.0, 0.102.7, 0.102.6, 0.102.5, 0.102.4, 0.102.3, 0.102.2, 0.102.1, 0.102.0, 0.101.1, 0.101.0, 0.100.9, 0.100.8, 0.100.7, 0.100.6, 0.100.5, 0.100.4, 0.100.3, 0.100.2, 0.100.10, 0.100.1, 0.100.0",50,Minor
com.google.api.grpc:proto-google-cloud-pubsub-v1,1.89.0,"1.99.1, 1.93.0-sp.3, 1.105.9, 1.105.8, 1.105.7, 1.105.6, 1.105.5, 1.105.4, 1.105.3, 1.105.2, 1.105.17, 1.105.16, 1.105.15, 1.105.14, 1.105.13, 1.105.12, 1.105.11, 1.105.10, 1.105.1, 1.105.0, 1.104.2, 1.104.1, 1.104.0, 1.103.1, 1.103.0, 1.102.9, 1.102.8, 1.102.7, 1.102.6, 1.102.5, 1.102.4, 1.102.3, 1.102.25, 1.102.24, 1.102.23, 1.102.22, 1.102.21, 1.102.20, 1.102.2, 1.102.19, 1.102.18, 1.102.17, 1.102.16, 1.102.15, 1.102.14, 1.102.13, 1.102.12, 1.102.11, 1.102.10, 1.102.1",50,Minor
com.google.api.grpc:proto-google-iam-v1,0.13.0,"1.9.3, 1.9.2, 1.9.1, 1.9.0, 1.8.0, 1.7.0, 1.6.9, 1.6.8, 1.6.7, 1.6.6, 1.6.5, 1.6.4, 1.6.3, 1.6.23, 1.6.22, 1.6.21, 1.6.20, 1.6.2, 1.6.19, 1.6.18, 1.6.17, 1.6.16, 1.6.15, 1.6.14, 1.6.13, 1.6.12, 1.6.11, 1.6.10, 1.6.1, 1.6.0, 1.5.2, 1.5.1, 1.5.0, 1.4.1, 1.4.0, 1.3.4, 1.3.3, 1.3.2, 1.3.1, 1.3.0, 1.2.12, 1.2.11, 1.16.0, 1.15.0, 1.14.1, 1.14.0, 1.13.0, 1.12.0, 1.11.0, 1.10.0",50,Major
com.google.apis:google-api-services-bigquery,v2-rev20191211-1.30.3,"v2-rev20230520-2.0.0, v2-rev20230506-2.0.0, v2-rev20230422-2.0.0, v2-rev20230408-2.0.0, v2-rev20230401-2.0.0, v2-rev20230318-2.0.0, v2-rev20230311-2.0.0, v2-rev20230210-2.0.0, v2-rev20230128-2.0.0, v2-rev20230114-2.0.0, v2-rev20221217-2.0.0, v2-rev20221209-2.0.0, v2-rev20221127-2.0.0, v2-rev20221028-2.0.0, v2-rev20221015-2.0.0, v2-rev20220924-2.0.0, v2-rev20220913-2.0.0, v2-rev20220910-2.0.0, v2-rev20220827-2.0.0, v2-rev20220806-2.0.0, v2-rev20220730-2.0.0, v2-rev20220716-2.0.0, v2-rev20220716-1.32.1, v2-rev20220611-1.32.1, v2-rev20220528-1.32.1, v2-rev20220507-1.32.1, v2-rev20220429-1.32.1, v2-rev20220422-1.32.1, v2-rev20220326-1.32.1, v2-rev20220322-1.32.1, v2-rev20220313-1.32.1, v2-rev20220307-1.32.1, v2-rev20220226-1.32.1, v2-rev20220222-1.32.1, v2-rev20220220-1.32.1, v2-rev20220123-1.32.1, v2-rev20211129-1.32.1, v2-rev20211106-1.32.1, v2-rev20211017-1.32.1, v2-rev20210927-1.32.1, v2-rev20210910-1.32.1, v2-rev20210904-1.32.1, v2-rev20210828-1.32.1, v2-rev20210819-1.32.1, v2-rev20210813-1.32.1, v2-rev20210727-1.32.1, v2-rev20210726-1.32.1, v2-rev20210617-1.32.1, v2-rev20210617-1.31.5, v2-rev20210611-1.31.5",50,Major
com.google.apis:google-api-services-cloudresourcemanager,v1-rev20200210-1.30.9,"v3-rev20230507-2.0.0, v3-rev20230430-2.0.0, v3-rev20230416-2.0.0, v3-rev20230403-2.0.0, v3-rev20230219-2.0.0, v3-rev20230129-2.0.0, v3-rev20230103-2.0.0, v3-rev20221108-2.0.0, v3-rev20221016-2.0.0, v3-rev20220925-2.0.0, v3-rev20220911-2.0.0, v3-rev20220828-2.0.0, v3-rev20220807-2.0.0, v3-rev20220731-2.0.0, v3-rev20220710-2.0.0, v3-rev20220710-1.32.1, v3-rev20220619-1.32.1, v3-rev20220523-1.32.1, v3-rev20220501-1.32.1, v3-rev20220424-1.32.1, v3-rev20220403-1.32.1, v3-rev20220320-1.32.1, v2beta1-rev20230129-2.0.0, v2beta1-rev20220828-2.0.0, v2beta1-rev20220807-2.0.0, v2beta1-rev20220501-2.0.0, v2beta1-rev20220501-1.32.1, v2beta1-rev20220403-1.32.1, v2-rev20230129-2.0.0, v2-rev20220828-2.0.0, v2-rev20220807-2.0.0, v2-rev20220501-2.0.0, v2-rev20220501-1.32.1, v2-rev20220403-1.32.1, v1beta1-rev20230514-2.0.0, v1beta1-rev20230409-2.0.0, v1beta1-rev20230129-2.0.0, v1beta1-rev20220828-2.0.0, v1beta1-rev20220807-2.0.0, v1beta1-rev20220710-2.0.0, v1beta1-rev20220710-1.32.1, v1beta1-rev20220501-1.32.1, v1beta1-rev20220403-1.32.1, v1-rev20230129-2.0.0, v1-rev20220828-2.0.0, v1-rev20220807-2.0.0, v1-rev20220710-2.0.0, v1-rev20220710-1.32.1, v1-rev20220501-1.32.1, v1-rev20220403-1.32.1",50,Major
